DBuid	StrainName	Date added	DNA	DNAextractNo	Species	Strain Background	Modifications	Source	Other notes (all are in ca. 15% glycerol)
T50	MB15b.SM	18/10/2011	19/10/2011	21	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T51	MB15b.1	18/10/2011	19/10/2011	22	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T52	MB14-ve	18/10/2011	19/10/2011	23	none	na	na	Heather Robinson	field negative control from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T53	ZP530.1A	18/10/2011	19/10/2011	24	S. cerevisiae	wild	none	Ana Pinharanda	positive control in Sniegowski enrichment medium, on Sniegowski selection plates and for DNA extraction
T54	ZP566.1A	18/10/2011	19/10/2011	1	S. cerevisiae	wild	none	Jose Paulo Sampaio	positive control in Sniegowski enrichment medium, on Sniegowski selection plates and for DNA extraction
T55	MB4a.SM	18/10/2011	19/10/2011	2	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T56	MB4a.1	18/10/2011	19/10/2011	3	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T57	MB4b.SM	18/10/2011	19/10/2011	4	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T58	MB4b.1	18/10/2011	19/10/2011	5	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T59	MB4c.SM	18/10/2011	19/10/2011	6	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T60	MB4c.1	18/10/2011	19/10/2011	7	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T61	MB4d.SM	18/10/2011	19/10/2011	8	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T62	MB4d.1	18/10/2011	19/10/2011	9	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T63	MB4-ve	18/10/2011	19/10/2011	10	none	na	na	Ana Pinharanda	field negative control from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T64	MB5a.SM	18/10/2011	19/10/2011	11	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T65	MB5a.1	18/10/2011	19/10/2011	12	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T66	MB5b.SM	18/10/2011	19/10/2011	13	yeast-like	wild	none	Ana Pinharanda	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T67	MB5b.1	18/10/2011	19/10/2011	14	yeast-like	wild	none	Ana Pinharanda	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T68	MB11d.SM	18/10/2011	19/10/2011	15	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T69	MB11d.1	18/10/2011	19/10/2011	16	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T70	MB13a.SM	18/10/2011	19/10/2011	17	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T71	MB13a.1	18/10/2011	19/10/2011	18	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T72	MB15a.SM	18/10/2011	19/10/2011	19	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T73	MB15a.1	18/10/2011	19/10/2011	20	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T74	MB15b.SM	18/10/2011	19/10/2011	21	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T75	MB15b.1	18/10/2011	19/10/2011	22	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T76	MB14-ve	18/10/2011	19/10/2011	23	none	na	na	Heather Robinson	field negative control from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
T77	ZP530.1A	18/10/2011	19/10/2011	24	S. cerevisiae	wild	none	Ana Pinharanda	positive control in Sniegowski enrichment medium, on Sniegowski selection plates and for DNA extraction
U1	ZP530.1A	27/10/2011	28/10/2011	1	S. cerevisiae	wild	none	Heather Robinson	positive control in Sniegowski enrichment medium, on Sniegowski selection plates and for DNA extraction
U2	PYR4D.YM	27/10/2011	28/10/2011	2	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
U3	PYR4D.1	27/10/2011	28/10/2011	3	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
U4	PYR4F.YM	27/10/2011	28/10/2011	4	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
U5	PYR4F.1	27/10/2011	28/10/2011	5	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
U6	PYR5D.YM	27/10/2011	28/10/2011	6	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
U7	PYR5D.1	27/10/2011	28/10/2011	7	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
U8	PYR6C.YM	27/10/2011	28/10/2011	8	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
U9	PYR6C.1	27/10/2011	28/10/2011	9	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
U10	PYR8D.YM	27/10/2011	28/10/2011	10	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
U11	PYR8D.1	27/10/2011	28/10/2011	11	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
U12	PYR9C.SM	27/10/2011	28/10/2011	12	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U13	PYR9C.1	27/10/2011	28/10/2011	13	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U14	PYR4C.SM	27/10/2011	28/10/2011	14	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U15	PYR4C.1	27/10/2011	28/10/2011	15	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U16	PYR11C.SM 	27/10/2011	28/10/2011	16	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U17	PYR11C.1	27/10/2011	28/10/2011	17	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U18	PYR11F.SM 	27/10/2011	28/10/2011	18	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U19	PYR11F.1 	27/10/2011	28/10/2011	19	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U20	PYR14B.SM 	27/10/2011	28/10/2011	20	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U21	PYR14B.1	27/10/2011	28/10/2011	21	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U22	PYR-VE	27/10/2011	28/10/2011	22	none	na	none	Heather Robinson	na
U23	PYR-VE	27/10/2011	28/10/2011	23	none	na	none	Heather Robinson	na
U24	ZP566.1A	27/10/2011	28/10/2011	24	S. cerevisiae	wild	none	Heather Robinson	positive control in Sniegowski enrichment medium, on Sniegowski selection plates and for DNA extraction
U25	ZP530.1A	27/10/2011	28/10/2011	1	S. cerevisiae	wild	none	Heather Robinson	positive control in Sniegowski enrichment medium, on Sniegowski selection plates and for DNA extraction
U26	PYR4D.SM	27/10/2011	28/10/2011	2	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U27	PYR4D.1	27/10/2011	28/10/2011	3	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U28	PYR4F.YM	27/10/2011	28/10/2011	4	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U29	PYR4F.1	27/10/2011	28/10/2011	5	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U30	PYR5D.YM	27/10/2011	28/10/2011	6	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U31	PYR5D.1	27/10/2011	28/10/2011	7	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U32	PYR6C.YM	27/10/2011	28/10/2011	8	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U33	PYR6C.1	27/10/2011	28/10/2011	9	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U34	PYR8D.SM	27/10/2011	28/10/2011	10	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U35	PYR8D.1	27/10/2011	28/10/2011	11	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U36	PYR9C.SM	27/10/2011	28/10/2011	12	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U37	PYR9C.1	27/10/2011	28/10/2011	13	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U38	PYR4C.SM	27/10/2011	28/10/2011	14	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U39	PYR4C.1	27/10/2011	28/10/2011	15	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U40	PYR11C.SM 	27/10/2011	28/10/2011	16	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U41	PYR11C.1	27/10/2011	28/10/2011	17	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U42	PYR11F.SM 	27/10/2011	28/10/2011	18	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U43	PYR11F.1 	27/10/2011	28/10/2011	19	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U44	PYR14B.SM 	27/10/2011	28/10/2011	20	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U45	PYR14B.1	27/10/2011	28/10/2011	21	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
U46	PYR-VE	27/10/2011	28/10/2011	22	none	na	none	Heather Robinson	na
U47	PYR-VE	27/10/2011	28/10/2011	23	none	na	none	Heather Robinson	na
U48	ZP566.1A	27/10/2011	28/10/2011	24	S. cerevisiae	wild	none	Heather Robinson	positive control in Sniegowski enrichment medium, on Sniegowski selection plates and for DNA extraction
U49	ZP530.1A	01/11/2011	02/11/2011	1	S. cerevisiae	wild	none	Heather Robinson	positive control in Sniegowski enrichment medium, on Sniegowski selection plates and for DNA extraction
U50	TAX3C.YM	01/11/2011	01/11/2011	2	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
U51	TAX3C.1	01/11/2011	01/11/2011	3	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
U52	TAX3A.YM	01/11/2011	01/11/2011	4	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
U53	TAX3A.1	01/11/2011	01/11/2011	5	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
U54	TAX13D.YM	01/11/2011	01/11/2011	6	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
U55	TAX13D.1	01/11/2011	01/11/2011	7	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
U56	TAX14D.YM	01/11/2011	01/11/2011	8	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
U57	TAX14D.1	01/11/2011	01/11/2011	9	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
U58	TAX8D.YM	01/11/2011	01/11/2011	10	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
U59	TAX8D.1	01/11/2011	01/11/2011	11	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
U60	TAX9D.YM	01/11/2011	01/11/2011	12	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
U61	TAX9D.1	01/11/2011	01/11/2011	13	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
U62	TAX2C.YM	01/11/2011	01/11/2011	14	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
U63	TAX2C.1	01/11/2011	01/11/2011	15	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
U64	TAX7B.YM	01/11/2011	01/11/2011	16	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
U65	TAX7B.1	01/11/2011	01/11/2011	17	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
U66	TAX4B.YM	01/11/2011	01/11/2011	18	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
U67	TAX4B.1	01/11/2011	01/11/2011	19	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
U68	TAX4C.YM	01/11/2011	01/11/2011	20	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
U69	TAX4C.1	01/11/2011	01/11/2011	21	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
U70	TAX13-ve	01/11/2011	01/11/2011	22	none	na	none	Heather Robinson	NA
U71	TAX13-ve	01/11/2011	01/11/2011	23	none	na	none	Heather Robinson	NA
U72	ZP566.1A	01/11/2011	01/11/2011	24	S. cerevisiae	wild	none	Heather Robinson	positive control in Sniegowski enrichment medium, on Sniegowski selection plates and for DNA extraction
U73	ZP530.1A	01/11/2011	01/11/2011	1	S. cerevisiae	wild	none	Heather Robinson	positive control in Sniegowski enrichment medium, on Sniegowski selection plates and for DNA extraction
U74	TAX3C.YM	01/11/2011	01/11/2011	2	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
U75	TAX3C.1	01/11/2011	01/11/2011	3	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
U76	TAX3A.YM	01/11/2011	01/11/2011	4	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
U77	TAX3A.1	01/11/2011	01/11/2011	5	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
U78	TAX13D.YM	01/11/2011	01/11/2011	6	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
U79	TAX13D.1	01/11/2011	01/11/2011	7	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
U80	TAX14D.YM	01/11/2011	01/11/2011	8	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
U81	TAX14D.1	01/11/2011	01/11/2011	9	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
V1	TAX8D.YM	01/11/2011	01/11/2011	10	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
V2	TAX8D.1	01/11/2011	01/11/2011	11	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
V3	TAX9D.YM	01/11/2011	01/11/2011	12	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
V4	TAX9D.1	01/11/2011	01/11/2011	13	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
V5	TAX2C.YM	01/11/2011	01/11/2011	14	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
V6	TAX2C.1	01/11/2011	01/11/2011	15	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
V7	TAX7B.YM	01/11/2011	01/11/2011	16	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
V8	TAX7B.1	01/11/2011	01/11/2011	17	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
V9	TAX4B.YM	01/11/2011	01/11/2011	18	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
V10	TAX4B.1	01/11/2011	01/11/2011	19	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
V11	TAX4C.YM	01/11/2011	01/11/2011	20	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
V12	TAX4C.1	01/11/2011	01/11/2011	21	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
V13	TAX13-ve	01/11/2011	01/11/2011	22	none	na	none	Heather Robinson	NA
V14	TAX13-ve	01/11/2011	01/11/2011	23	none	na	none	Heather Robinson	NA
V15	ZP566.1A	01/11/2011	01/11/2011	24	S. cerevisiae	wild	none	Heather Robinson	positive control in Sniegowski enrichment medium, on Sniegowski selection plates and for DNA extraction
V16	ZP565.1A.SM	09/11/2011	11/11/2011	1	S. cerevisiae	wild	none	Ana Pinharanda	positive control in Sniegowski enrichment medium, on Sniegowski selection plates and for DNA extraction (many colonies)
V17	CR1a.SM	09/11/2011	11/11/2011	2	yeast-like	wild	none	Ana Pinharanda	Many colonies picked from Sniegowski selection plate
V18	CR1a.1	09/11/2011	11/11/2011	3	yeast-like	wild	none	Ana Pinharanda	Single colony picked from Sniegowski selection plate
V19	CR1f.SM	09/11/2011	11/11/2011	4	yeast-like	wild	none	Ana Pinharanda	Many colonies picked from Sniegowski selection plate
V20	CR1f.1	09/11/2011	11/11/2011	5	yeast-like	wild	none	Ana Pinharanda	Single colony picked from Sniegowski selection plate
V21	CR1k.SM	09/11/2011	11/11/2011	6	yeast-like	wild	none	Ana Pinharanda	Many colonies picked from Sniegowski selection plate
V22	CR1k.1	09/11/2011	11/11/2011	7	yeast-like	wild	none	Ana Pinharanda	Single colony picked from Sniegowski selection plate
V23	CR1 -ve	09/11/2011	11/11/2011	8	yeast-like	na	none	Ana Pinharanda	na
V24	Son4c.SM	09/11/2011	11/11/2011	9	yeast-like	wild	none	Ana Pinharanda	Many colonies picked from Sniegowski selection plate
V25	Son4c.1	09/11/2011	11/11/2011	10	yeast-like	wild	none	Ana Pinharanda	Single colony picked from Sniegowski selection plate
V26	Son6a.SM	09/11/2011	11/11/2011	11	yeast-like	wild	none	Ana Pinharanda	Many colonies picked from Sniegowski selection plate
V27	Son6a.1	09/11/2011	11/11/2011	12	yeast-like	wild	none	Ana Pinharanda	Single colony picked from Sniegowski selection plate
V28	Son7a.SM	09/11/2011	11/11/2011	13	yeast-like	wild	none	Ana Pinharanda	Many colonies picked from Sniegowski selection plate
V29	Son7a.1	09/11/2011	11/11/2011	14	yeast-like	wild	none	Ana Pinharanda	Single colony picked from Sniegowski selection plate
V30	Son7 -ve	09/11/2011	11/11/2011	15	yeast-like	na	none	Ana Pinharanda	na
V31	IGC1b.1	09/11/2011	11/11/2011	16	yeast-like	wild	none	Ana Pinharanda	Single colony picked from Sniegowski selection plate
V32	IGC1b.SM	09/11/2011	11/11/2011	17	yeast-like	wild	none	Ana Pinharanda	Many colonies picked from Sniegowski selection plate
V33	IGC1d.1	09/11/2011	11/11/2011	18	yeast-like	wild	none	Ana Pinharanda	Single colony picked from Sniegowski selection plate
V34	IGC1d.SM	09/11/2011	11/11/2011	19	yeast-like	wild	none	Ana Pinharanda	Many colonies picked from Sniegowski selection plate
V35	IGC -ve	09/11/2011	11/11/2011	20	yeast-like	na	none	Ana Pinharanda	na
V36	AN4l.1	09/11/2011	11/11/2011	21	yeast-like	wild	none	Ana Pinharanda	Single colony picked from Sniegowski selection plate
V37	AN4l.SM	09/11/2011	11/11/2011	22	yeast-like	wild	none	Ana Pinharanda	Many colonies picked from Sniegowski selection plate
V38	AN4-ve	09/11/2011	11/11/2011	23	yeast-like	na	none	Ana Pinharanda	na
V39	ZP565.1A.1	09/11/2011	11/11/2011	24	yeast-like	wild	none	Ana Pinharanda	Single colony picked from Sniegowski selection plate (acs as positive control for DNA extraction and PCR
V40	ZP565.1A.SM	09/11/2011	11/11/2011	1	yeast-like	wild	none	Ana Pinharanda	Many colonies picked from Sniegowski selection plate
V41	CRIa.SM	09/11/2011	11/11/2011	2	yeast-like	wild	none	Ana Pinharanda	Many colonies picked from Sniegowski selection plate
V42	CRIa.1	09/11/2011	11/11/2011	3	yeast-like	wild	none	Ana Pinharanda	Single colony picked from Sniegowski selection plate
V43	CRIf.SM	09/11/2011	11/11/2011	4	yeast-like	wild	none	Ana Pinharanda	Many colonies picked from Sniegowski selection plate
V44	CRIf.1	09/11/2011	11/11/2011	5	yeast-like	wild	none	Ana Pinharanda	Single colony picked from Sniegowski selection plate
V45	CRIk.SM	09/11/2011	11/11/2011	6	yeast-like	wild	none	Ana Pinharanda	Many colonies picked from Sniegowski selection plate
V46	CRIk.1	09/11/2011	11/11/2011	7	yeast-like	wild	none	Ana Pinharanda	Single colony picked from Sniegowski selection plate
V47	CRI -ve	09/11/2011	11/11/2011	8	na	na	none	Ana Pinharanda	na
V48	Son4c.SM	09/11/2011	11/11/2011	9	yeast-like	wild	none	Ana Pinharanda	Many colonies picked from Sniegowski selection plate
V49	Son4c.1	09/11/2011	11/11/2011	10	yeast-like	wild	none	Ana Pinharanda	Single colony picked from Sniegowski selection plate
V50	Son6a.SM	09/11/2011	11/11/2011	11	yeast-like	wild	none	Ana Pinharanda	Many colonies picked from Sniegowski selection plate
V51	Son6a.1	09/11/2011	11/11/2011	12	yeast-like	wild	none	Ana Pinharanda	Single colony picked from Sniegowski selection plate
V52	Son7a.SM	09/11/2011	11/11/2011	13	yeast-like	wild	none	Ana Pinharanda	Many colonies picked from Sniegowski selection plate
V53	Son7a.1	09/11/2011	11/11/2011	14	yeast-like	wild	none	Ana Pinharanda	Single colony picked from Sniegowski selection plate
V54	Son7-ve	09/11/2011	11/11/2011	15	na	na	none	Ana Pinharanda	na
V55	IGC1b.1	09/11/2011	11/11/2011	16	yeast-like	wild	none	Ana Pinharanda	Single colony picked from Sniegowski selection plate
V56	IGC1b.SM	09/11/2011	11/11/2011	17	yeast-like	wild	none	Ana Pinharanda	Many colonies picked from Sniegowski selection plate
V57	IGC1d.1	09/11/2011	11/11/2011	18	yeast-like	wild	none	Ana Pinharanda	Single colony picked from Sniegowski selection plate
V58	IGC1d.SM	09/11/2011	11/11/2011	19	yeast-like	wild	none	Ana Pinharanda	Many colonies picked from Sniegowski selection plate
V59	IGC -ve	09/11/2011	11/11/2011	20	na	na	none	Ana Pinharanda	na
V60	AN4l.1	09/11/2011	11/11/2011	21	yeast-like	wild	none	Ana Pinharanda	Single colony picked from Sniegowski selection plate
V61	AN4l.SM	09/11/2011	11/11/2011	22	yeast-like	wild	none	Ana Pinharanda	Many colonies picked from Sniegowski selection plate
V62	AN4-ve	09/11/2011	11/11/2011	23	na	wild	none	Ana Pinharanda	Single colony picked from Sniegowski selection plate
V63	ZP565.1A.1	09/11/2011	11/11/2011	24	yeast-like	wild	none	Ana Pinharanda	positive control in Sniegowski enrichment medium, on Sniegowski selection plates and for DNA extraction
V64	ZP566.1A	15/11/2011	16/11/2011	1	S. cerevisiae	wild	none	Heather Robinson	positive control in Sniegowski enrichment medium, on Sniegowski selection plates and for DNA extraction
V65	TAX3C.YM	15/11/2011	16/11/2011	2	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from YPD
V66	TAX13D.1	15/11/2011	16/11/2011	3	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from YPD
V67	TAX4C.1C	15/11/2011	16/11/2011	4	yeast-like	wild	none	Heather Robinson	single white yeast-like colony picked from YPD (there was another type of colony on the same plate)
V68	TAX4B.1B	15/11/2011	16/11/2011	5	yeast-like	wild	none	Heather Robinson	single brown yeast-like colony picked from YPD
V69	TAX7B.1B	15/11/2011	16/11/2011	6	yeast-like	wild	none	Heather Robinson	single brown yeast-like colony picked from YPD
V70	TAX13-ve	15/11/2011	16/11/2011	7	none	NA	none	Heather Robinson	NA
V71	TAX3C.SM	15/11/2011	16/11/2011	8	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
V73	TAX13A.SM	15/11/2011	16/11/2011	10	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
V74	TAX13A.1	15/11/2011	16/11/2011	11	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
V75	TAX6A.SM	15/11/2011	16/11/2011	12	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
V77	TAX14C.SM	15/11/2011	16/11/2011	14	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
V79	TAX15C.SM	15/11/2011	16/11/2011	16	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
V80	TAX15C.1	15/11/2011	16/11/2011	17	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
V81	TAX15D.SM	15/11/2011	16/11/2011	18	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
W1	TAX15D.1	15/11/2011	16/11/2011	19	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
W2	TAX1D.SM	15/11/2011	16/11/2011	20	yeast-like	wild	none	Heather Robinson	many yeast-like colonies picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
W3	TAX1D.1	15/11/2011	16/11/2011	21	yeast-like	wild	none	Heather Robinson	single yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
W4	TAX1A.1A	15/11/2011	16/11/2011	22	yeast-like	wild	none	Heather Robinson	single pink yeast-like colony picked from methyl-alpha-D-glucopyranoside. (Sniegowski selection plate).
